run_index,stage_id,stage_name,seed,result,elapsed_seconds,player_level,hp,max_hp,dug_tiles,defeated_enemies,acquired_items,acquired_object_items,money,total_materials,warp_discovered,warp_total,boss_defeated,timeout,stuck_count
1,stage_01_stardust,星くずの浅坑,2179590884,stopped,536.81,8,28,30,912,76,193,45,371,63,2,4,false,false,3
2,stage_01_stardust,星くずの浅坑,2179590884,stopped,16.13,8,30,30,978,77,207,48,131,84,2,4,false,false,0
3,stage_01_stardust,星くずの浅坑,2179590884,stopped,87.00,9,33,33,1128,88,237,56,107,93,2,4,false,false,0
4,stage_01_stardust,星くずの浅坑,2179590884,stopped,113.91,10,36,36,1362,112,293,70,125,116,3,4,false,false,0
5,stage_01_stardust,星くずの浅坑,2179590884,stopped,78.14,10,28,36,1474,121,320,76,239,138,3,4,false,false,1
6,stage_01_stardust,星くずの浅坑,2179590884,stopped,101.72,10,36,36,1637,135,367,84,194,183,3,4,false,false,0
7,stage_01_stardust,星くずの浅坑,2179590884,stopped,67.30,11,38,38,1760,137,395,88,156,193,3,4,false,false,0
8,stage_01_stardust,星くずの浅坑,2179590884,stopped,13.07,11,38,38,1936,140,422,94,14,204,4,4,false,false,0
9,stage_01_stardust,星くずの浅坑,2179590884,stopped,1.67,11,38,38,1937,140,423,94,23,204,4,4,false,false,0
10,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,457.48,15,42,46,1114,99,192,47,63,248,2,5,false,false,3
11,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,96.81,16,12,48,1353,120,252,59,723,290,2,5,false,false,0
12,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,28.38,16,48,48,1383,121,260,60,12,298,0,0,false,false,1
13,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,26.12,16,36,48,1421,125,267,62,51,290,2,5,false,false,0
14,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,82.20,16,39,48,1634,147,319,76,75,321,3,5,false,false,0
15,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,58.40,17,29,49,1791,159,346,84,426,331,3,5,false,false,0
16,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,26.60,17,49,49,1840,160,353,87,460,331,0,0,false,false,0
17,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,21.37,17,51,51,1850,161,355,87,58,239,3,5,false,false,0
18,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,1.33,17,51,51,1850,161,359,87,118,240,3,5,false,false,0
19,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,1.60,17,51,51,1856,162,359,87,118,240,3,5,false,false,0
20,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,76.42,18,44,54,2166,188,443,109,385,274,4,5,false,false,0
21,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,32.25,18,54,54,2280,198,471,114,811,287,0,0,false,false,0
22,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,9.97,18,54,54,2282,198,471,114,49,285,4,5,false,false,0
23,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,103.69,19,47,56,2647,227,555,139,1130,316,4,5,false,false,0
24,stage_02_junk_magic,魔導廃棄層,1625452338,stopped,18.32,19,56,56,2732,233,571,143,133,320,5,5,false,false,0
